店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
焼き肉家 益市 本店,050-5494-3871,,京都府,京都市南区吉祥院西浦町,33,,https://r.gnavi.co.jp/41dj4d090000/,True
焼き肉家 ますいち 東店,050-5494-3870,,京都府,京都市南区西九条比永城町,12-6,,https://r.gnavi.co.jp/j36b62bf0000/,True
焼き肉家 益市 堺町錦,050-5494-3868,,京都府,京都市,中京区堺町錦小路上ル東側,,https://r.gnavi.co.jp/b7b4xtw70000/,True
焼き肉家 益市 八条口,050-5494-3867,,京都府,京都市南区東九条北烏丸町,6-6,,https://r.gnavi.co.jp/srzv76d00000/,True
喫茶Cizool,050-5485-0628,,京都府,京都市,南区西九条川原城町5,,https://r.gnavi.co.jp/fbdxu7sr0000/,True
喫茶 FRONT,050-5489-0843,,京都府,京都市,右京区西院巽町3,,https://r.gnavi.co.jp/e1fr5whj0000/,True
カラオケ喫茶ラブソング,090-3263-5544,,京都府,相楽郡精華町下狛下新庄,57-4,,https://r.gnavi.co.jp/1fjgghr90000/,True
焼肉まさ,050-5485-4931,,京都府,舞鶴市北吸,771-1,,https://r.gnavi.co.jp/jhd9dhx00000/,True
炭火焼肉 焼肉の岩さん,050-5485-5396,,京都府,京都市中京区河原町通三条下ル大黒町,71-22,,https://r.gnavi.co.jp/kbyu900/,True
焼肉 竹馬,050-5485-7410,,京都府,宇治市大久保町北ノ山,101-17,,https://r.gnavi.co.jp/2hkpxfts0000/,True
焼肉 有楽,050-5485-3460,,京都府,京都市,右京区西院三蔵町8,,https://r.gnavi.co.jp/kb9y700/,True
焼肉 大仙 本店,050-5485-6575,,京都府,京都市中京区西ノ京船塚町,16-9,,https://r.gnavi.co.jp/k477100/,True
焼肉美濃,050-5487-2838,,東京都,府中市四谷,6-25-1,,https://r.gnavi.co.jp/49u9zrkw0000/,True
焼肉 お富,050-5489-4196,,京都府,京都市中京区新京極通四条上ル中之町,573-4,,https://r.gnavi.co.jp/e6wuag180000/,True
